,subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP,
57,66263000,tvN스토리,20240301172537,1,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
58,65289000,tvN스토리,20240301150028,5,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
59,66219000,tvN스토리,20240301165739,8,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
60,62007000,tvN스토리,20240301171307,15,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
61,62800000,tvN스토리,20240301142538,67,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
62,66182000,tvN스토리,20240301140427,29,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
63,65129000,tvN스토리,20240301145040,6,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
64,63732000,tvN스토리,20240301142048,8,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
65,65884000,tvN스토리,20240301124525,4764,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
66,63740000,tvN스토리,20240301131414,12,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
67,61186000,tvN스토리,20240301153718,3600,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
68,60156000,tvN스토리,20240301140455,408,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
69,65795000,tvN스토리,20240301135403,51,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
70,64723000,tvN스토리,20240301162945,32,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
71,66560000,tvN스토리,20240301131620,100,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
72,65795000,tvN스토리,20240301135456,308,미스터 션샤인(13회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
73,65111000,tvN스토리,20240301172426,5,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
74,64249000,tvN스토리,20240301144550,57,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
75,65696000,tvN스토리,20240301165104,49,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
76,65150000,tvN스토리,20240301160728,213,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
77,66578000,tvN스토리,20240301170819,6,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
78,66383000,tvN스토리,20240301152602,9,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
79,63085000,tvN스토리,20240301181748,453,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
80,60912000,채널J,20240301164431,117,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
81,62248000,채널J,20240301121239,1066,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
82,62248000,채널J,20240301114024,31,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
83,64743000,채널J,20240301171852,6,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
84,63089000,채널J,20240301154943,13,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
85,60898000,채널J,20240301155805,6191,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
