,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
643,66705000,무림철검,영화,무협,2075,바람처럼 강호를 휩쓸고 다닌 천하제일 검객 목역은 천살문에서 많은 임무를 완수하고 문주 독고의 편애를 받는다. 독고는 목역을 사위로 삼으려 하지만 목역은 천살문을 떠나 자유롭게 살기를 갈망하는데...,"누오 야오,팡 슈아이",01:41,20240221163707
644,66875000,아적가로리남해 : 나만의 소울메이트 08회(A),TV드라마,외화 시리즈,752,쉬징징과 캉자웨이는 가오잔과 예쁜 쉬징징의 데이트를 방해하러 출동한다. 예쁜 쉬징징은 가오잔에게 같은 대학에 가고 싶다며 마음을 에둘러 표현하지만 가오잔은 알아듣지 못한다. 예쁜 쉬징징 엄마는 천 선생님이 학생들이 연애하도록 부추겼다며 3반 담임 선생님을...,"적자로,대로와,왕유균,이희맹",00:42,20240224110217
645,66875000,야성부 08회(A),TV드라마,외화 시리즈,2640,"서유는 혼인 후에 소용경을 죽일 계획을 세우고, 서성은 파혼을 요구하러 소용경을 찾아가지만 뜻밖에도 소용경의 방에서 심야를 만난다. 심야를 죽게 둘 수 없는 서성은 소용경과 혼인하라는 황명을 거역하고, 감옥에 갇힌다. 서성이 죄인의 신분으로 하옥되어...","위안하오,자쩌,리저하오,펑야치",00:44,20240216084151
646,61136000,아내보다 맛있는 거유녀,영화,기타,31,아내가 못해주는 거 내가 많이 해줄게! 마츠리는 장난기 가득한 미소를 띠며 다가왔다. 밀당 없이 모든 걸 맞춰주는 여자로서 최고의 테크닉을 가진 최고의 애인이다. 싫다는 플레이는 일절 없고 시간이 허락하는 한 콘돔 없이 미친 듯이 한다.,키리타니 마츠리,00:45,20240209221305
647,60784000,뜨거운 여름(2023),영화,드라마,48,"형을 따라 형의 친구들과 산토 토마스에서 휴가를 보내게 된 마틴은 짓궂은 형과 누나들의 놀림을 받으며 지내고 있다. 어느 날 옆집 앞에서 한 여자를 보게 된 마틴은 호기심을 가지고 그 여자를 지켜보다가 혼자인 듯한 여자, 아델과 인사를 나누고 친해지게 된다.","클리포드 푸싱,프랭키 러셀",01:31,20240213212549
648,60784000,뜨거운 여름(2023),영화,드라마,0,"형을 따라 형의 친구들과 산토 토마스에서 휴가를 보내게 된 마틴은 짓궂은 형과 누나들의 놀림을 받으며 지내고 있다. 어느 날 옆집 앞에서 한 여자를 보게 된 마틴은 호기심을 가지고 그 여자를 지켜보다가 혼자인 듯한 여자, 아델과 인사를 나누고 친해지게 된다.","클리포드 푸싱,프랭키 러셀",01:31,20240202235834
649,60784000,뜨거운 여름(2023),영화,드라마,640,"형을 따라 형의 친구들과 산토 토마스에서 휴가를 보내게 된 마틴은 짓궂은 형과 누나들의 놀림을 받으며 지내고 있다. 어느 날 옆집 앞에서 한 여자를 보게 된 마틴은 호기심을 가지고 그 여자를 지켜보다가 혼자인 듯한 여자, 아델과 인사를 나누고 친해지게 된다.","클리포드 푸싱,프랭키 러셀",01:31,20240218230026
650,60784000,이미 젖어버린 형수의 벌어진 틈,기타,기타,266,"직장에서 미움받는 상사의 1위, 거기에 성희롱을 일삼는 상사를 여자는 매우 몹시 싫어했다. 남편과 식사하러 가기로 했던 그날도 억지로 회식에 참석 심지어 술에 취한 상사가 집에 머물게 되는 일이 발생한다.",미타니 아카리,01:04,20240202075200
651,66875000,효심이네 각자도생 14회(23/11/11),TV드라마,기타,825,태호의 병문안을 간 효심은 태민과 마주친다. 숙향과 싸우던 태희는 태민을 꼬드겨서 백화점에 간다. 끝순은 사기꾼 남인숙으로 신고받아 경찰에 끌려간다. 입원실에서 깨어난 태호는 효심에게 전화해서 떡볶이 사 오라고 한다. 한편 효준은 삼겹살집에서 시비가 붙는데...,"유이,하준,고주원",01:06,20240225104049
652,66056000,30일(예고),영화,코미디,0,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",00:00,20240210065416
653,64612000,30일(예고),영화,코미디,0,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",00:00,20240213201824
654,62444000,30일,영화,코미디,0,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",01:59,20240227103551
